state,food_insecurity_pct,very_low_food_security_pct
Alabama,12.1,4.6
Alaska,13.0,6.5
Arizona,13.1,5.6
Arkansas,19.4,7.6
California,12.5,4.4
Colorado,10.5,4.3
Connecticut,12.1,5.7
Delaware,10.8,4.5
Florida,13.3,4.8
Georgia,14.6,5.9
Hawaii,10.8,4.5
Idaho,12.6,4.5
Illinois,13.3,4.8
Indiana,13.7,5.9
Iowa,10.8,3.9
Kansas,12.5,4.9
Kentucky,18.8,9.0
Louisiana,17.7,6.8
Maine,12.9,4.6
Maryland,11.5,4.8
Massachusetts,11.7,3.9
Michigan,14.7,6.3
Minnesota,9.9,3.7
Mississippi,17.3,6.9
Missouri,13.3,5.9
Montana,11.7,4.2
Nebraska,12.7,5.3
Nevada,15.0,6.1
New Hampshire,9.1,4.4
New Jersey,9.8,3.5
New Mexico,14.5,6.5
New York,14.0,5.6
North Carolina,11.8,4.4
North Dakota,9.0,4.1
Ohio,14.2,6.2
Oklahoma,16.9,6.0
Oregon,12.5,5.7
Pennsylvania,10.9,3.7
Rhode Island,10.6,5.1
South Carolina,13.5,5.8
South Dakota,9.5,3.4
Tennessee,13.3,5.8
Texas,17.6,6.6
Utah,11.5,4.3
Vermont,9.4,3.7
Virginia,12.4,5.3
Washington,11.0,3.9
West Virginia,14.1,4.3
Wisconsin,12.0,4.4
Wyoming,15.6,6.4
